Depth,Channel Diameter ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.393,0.431,0.474,0.52,0.571,0.627,0.688,0.755,0.829,0.91,0.999,1.097,1.204,1.321,1.451,1.592,1.748,1.919,2.107,2.313,2.539,2.787,3.059,3.358,3.687,4.047,4.443,4.877,5.354,5.878,6.452,7.083,7.775,8.538,9.37,10.29,11.29,12.4,13.61,14.94,16.4,18,19.76,21.69,23.81,26.14,28.7,31.5,34.58,37.97,41.68,45.75,50.22,55.13,60.52,66.44,72.94,80.07,87.9,96.49,105.9,116.3,127.6,140.1,153.8,168.9,185.4,203.5,223.4,245.2,269.2,295.5,324.4,356.1,390.9,429.2,471.1,517.2,567.7,623.3,684.2,751.1,824.5,905.1,993.6,1091,1197,1314,1443,1584,1739,1909
2,0,0,0,0,0,0,0,0,3.15E-05,0.000736999,0.00516461,0.0184652,0.0420674,0.0739458,0.111085,0.15436,0.202258,0.254449,0.30807,0.361497,0.412789,0.461962,0.509469,0.554355,0.597975,0.639006,0.681044,0.722096,0.765457,0.807151,0.850052,0.893119,0.939929,0.990987,1.04532,1.10575,1.1696,1.24348,1.32192,1.40673,1.48576,1.55425,1.60853,1.65504,1.71104,1.7901,1.904,2.04518,2.1977,2.3368,2.44265,2.50868,2.54308,2.568,2.60911,2.6868,2.80773,2.95894,3.11227,3.23024,3.28388,3.26911,3.20151,3.10974,2.99556,2.82042,2.52384,2.04317,1.38721,0.696345,0.269649,0.144732,0.270423,0.675178,1.25369,1.61516,1.55461,1.03863,0.450771,0.0921589,0.00762406,0,0.00619461,0.0634965,0.302851,0.719467,0.915777,0.665208,0.192723,0.0246409,0,0
4,0,0,0,0,0,2.92E-05,0.000378989,2.08E-03,0.00571217,0.0114222,0.0185366,0.0281117,0.0401022,0.0549294,0.0715856,0.0902518,0.110066,0.131608,0.154084,0.177271,0.200424,0.22368,0.247819,0.272383,0.298352,0.324448,0.352848,0.382357,0.415385,0.449514,0.486374,0.525162,0.568105,0.615556,0.667172,0.724988,0.78765,0.859127,0.935795,1.01991,1.10509,1.19039,1.27177,1.3496,1.42866,1.51368,1.61308,1.72695,1.85386,1.9854,2.11347,2.23376,2.34783,2.46554,2.59919,2.75887,2.9455,3.14657,3.33855,3.49371,3.59276,3.63426,3.63475,3.61198,3.56444,3.45566,3.22388,2.82062,2.26131,1.65759,1.18498,0.958673,1.00799,1.29061,1.66954,1.90897,1.81393,1.36104,0.735093,0.252051,0.0426434,0.00566937,0.00963054,0.0565238,0.168941,0.339445,0.513842,0.622234,0.517925,0.276584,0.0653631,0.00641018
6,0,0,0,0,0.00E+00,0,0.00E+00,0,5.21E-05,0.00102849,0.00678624,0.0229709,0.0509796,0.0880451,0.131193,0.180889,0.235234,0.293684,0.352882,0.410931,0.465502,0.516824,0.565629,0.611327,0.655693,0.697532,0.741203,0.784783,0.832289,0.879089,0.92843,0.979091,1.03543,1.09807,1.16557,1.24071,1.31969,1.40966,1.50349,1.60205,1.69002,1.76081,1.81115,1.8502,1.90022,1.97753,2.09375,2.23636,2.3818,2.49826,2.56357,2.57607,2.55517,2.53623,2.5547,2.63391,2.77526,2.95378,3.12834,3.25164,3.29575,3.26986,3.19762,3.1153,3.01472,2.84343,2.54078,2.04006,1.34461,0.639219,0.181339,0.0575866,0.103389,0.415846,0.947984,1.37659,1.38245,1.01179,0.510801,0.152399,0.0220179,0.00091727,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0.00E+00,0,0.00E+00,0,0.00E+00,7.59E-05,0.00118376,0.00705517,0.021629,0.045518,0.0759298,0.111582,0.152498,0.197037,0.244774,0.292908,0.340047,0.384139,0.425477,0.464594,0.501175,0.53662,0.569912,0.604765,0.639708,0.678383,0.716799,0.757808,0.800377,0.848723,0.903612,0.964065,1.03246,1.10573,1.19037,1.28013,1.37488,1.4593,1.52544,1.56908,1.59873,1.63589,1.69742,1.79554,1.92027,2.051,2.1598,2.22793,2.25596,2.26316,2.28161,2.34135,2.45917,2.63155,2.83292,3.024,3.16457,3.23133,3.22961,3.18998,3.14456,3.09704,3.0016,2.77306,2.33592,1.68933,0.925143,0.403323,0.201065,0.300039,0.669336,1.24242,1.63389,1.639,1.22382,0.634837,0.193205,0.0285812,0.0107288,0.0694657,0.347503,0.856997,1.37511,1.33197,0.816974,0.215065,0.0244483,0,0
10,0,0,0.00E+00,0,0.00E+00,0,3.23E-05,5.31E-04,0.00314474,0.00969322,0.0204472,0.0350876,0.0537304,0.0773993,0.104719,0.135584,0.168324,0.20355,0.239842,0.27679,0.312829,0.348069,0.383625,0.419089,0.455956,0.49234,0.531792,0.572748,0.619373,0.66789,0.720912,0.777358,0.841427,0.914486,0.99611,1.08962,1.19216,1.30991,1.43586,1.57071,1.69931,1.81357,1.90402,1.97182,2.03152,2.09881,2.19339,2.31738,2.46454,2.61526,2.74944,2.85609,2.93699,3.00851,3.09051,3.19632,3.32343,3.44964,3.53996,3.56058,3.4973,3.36858,3.21697,3.08146,2.96591,2.81686,2.54754,2.08468,1.42983,0.729975,0.28608,0.13634,0.210713,0.467116,0.816416,0.974907,0.845695,0.503058,0.183905,0.0324513,0.00193597,0,0,0,0,0,0,0,0,0,0,0
12,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.00E+00,0,1.72E-05,0.000535029,0.00408962,0.0157196,0.0369583,0.0661464,0.0997858,0.138867,0.18189,0.228569,0.27628,0.323462,0.368258,0.410645,0.451262,0.489312,0.526253,0.560856,0.596732,0.632302,0.671057,0.709407,0.75002,0.792199,0.839722,0.893794,0.953688,1.02232,1.09674,1.18295,1.27483,1.37254,1.4617,1.53373,1.58151,1.60848,1.63104,1.66382,1.72076,1.79757,1.88117,1.94999,1.98701,1.98869,1.96559,1.93994,1.93403,1.96126,2.02056,2.09502,2.15891,2.18796,2.17245,2.12465,2.07414,2.04891,2.05464,2.05922,2.00129,1.82078,1.51011,1.14962,0.875907,0.791966,0.946861,1.34223,1.88835,2.37747,2.59761,2.44731,1.98809,1.42517,0.976856,0.756361,0.81584,1.11482,1.59859,1.98744,1.73725,0.999316,0.2525,0.0282991,0,0
14,0.00E+00,0,0.00E+00,0,0.00E+00,0.00E+00,0,0.00E+00,4.25E-05,0.00094845,0.00654554,0.0231192,0.052422,0.091932,0.137894,0.191157,0.249663,0.313285,0.378449,0.443181,0.504886,0.563972,0.621615,0.677106,0.732527,0.786164,0.843278,0.901655,0.966191,1.03115,1.10004,1.1713,1.24993,1.33652,1.42863,1.52883,1.63133,1.74371,1.85633,1.96948,2.06485,2.13552,2.18002,2.21163,2.25842,2.33887,2.46334,2.61172,2.75092,2.84092,2.85774,2.80654,2.71882,2.64219,2.61826,2.66737,2.78037,2.91826,3.02651,3.05823,2.9985,2.87305,2.72643,2.58602,2.44059,2.24026,1.94085,1.55074,1.14004,0.807482,0.597461,0.491263,0.431005,0.353419,0.223744,0.0944441,0.019333,0.00157836,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0.00E+00,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,0.000216616,0.00276958,0.0148881,0.0402268,0.077817,0.120426,0.169855,0.224357,0.283982,0.345381,0.406457,0.464433,0.519701,0.573512,0.625252,0.676765,0.726423,0.779452,0.833983,0.894879,0.956583,1.02255,1.09152,1.16881,1.25531,1.34881,1.45196,1.55914,1.67723,1.79555,1.91247,2.00807,2.07353,2.10603,2.1178,2.13711,2.1848,2.27603,2.39802,2.52503,2.62161,2.66238,2.64473,2.58894,2.53236,2.51158,2.54869,2.64187,2.76218,2.86604,2.90888,2.87108,2.77304,2.6503,2.545,2.45307,2.32514,2.0982,1.70181,1.13078,0.539892,0.153749,0.0515849,0.0999931,0.407157,0.94176,1.40731,1.48882,1.2069,0.700817,0.264716,0.0489004,0.0035803,0,0,0,0,0,0,0,0,0,0
18,0.00E+00,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,0,0.000127687,0.00200668,0.012056,0.0367523,0.0767132,0.12527,0.180715,0.24133,0.306798,0.373289,0.438272,0.497842,0.552503,0.603427,0.651031,0.697149,0.740898,0.787594,0.835756,0.890002,0.944527,1.00273,1.06321,1.13142,1.20756,1.28879,1.37658,1.4651,1.56099,1.65356,1.73988,1.80042,1.8288,1.82967,1.82369,1.84491,1.91365,2.03695,2.19051,2.33589,2.43105,2.45308,2.41044,2.33861,2.28678,2.29624,2.38618,2.54566,2.73406,2.8966,2.98233,2.97196,2.88994,2.78127,2.69504,2.63178,2.54075,2.34259,1.95274,1.36644,0.704265,0.2562,0.107392,0.172828,0.494968,1.02373,1.43406,1.47478,1.11834,0.589624,0.182414,0.0274653,0.00868946,0.0418234,0.193994,0.436168,0.654341,0.601396,0.354555,0.0911871,0.00988985,0,0
