Depth (CM),WAB18-GC1
0,0.8
1,3.2
2,2.7
3,2.5
4,2.1
5,2.2
6,2.7
7,2
8,2.2
9,1.8
10,1.7
11,1.9
12,2.2
13,1.6
14,1.8
15,2.3
16,3.8
17,4.7
18,4.8
19,5
20,4.7
21,5.6
22,4.4
23,4.4
24,3.9
25,3.1
26,3.2
27,1.8
28,1.2
29,0.4
30,0
31,0.1
32,-0.6
33,-0.4
34,-0.7
35,-1.5
36,-1.6
37,-1.6
38,-1.7
39,-1.7
40,-1.5
41,-1.9
42,-1.8
43,0
44,-1.8
45,-1.6
46,-2.1
47,-1.1
48,
49,
50,
51,
52,
53,
54,
55,
