Depth,Channel Diameter (Grain Size),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.393,0.431,0.474,0.52,0.571,0.627,0.688,0.755,0.829,0.91,0.999,1.097,1.204,1.321,1.451,1.592,1.748,1.919,2.107,2.313,2.539,2.787,3.059,3.358,3.687,4.047,4.443,4.877,5.354,5.878,6.452,7.083,7.775,8.538,9.37,10.29,11.29,12.4,13.61,14.94,16.4,18,19.76,21.69,23.81,26.14,28.7,31.5,34.58,37.97,41.68,45.75,50.22,55.13,60.52,66.44,72.94,80.07,87.9,96.49,105.9,116.3,127.6,140.1,153.8,168.9,185.4,203.5,223.4,245.2,269.2,295.5,324.4,356.1,390.9,429.2,471.1,517.2,567.7,623.3,684.2,751.1,824.5,905.1,993.6,1091,1197,1314,1443,1584,1739,1909
20_GC1,0,0,0,0,0,0,0,0,8.05E-05,0.00115737,0.00653867,0.0189938,0.0384627,0.0626837,0.0911406,0.124122,0.159877,0.198579,0.238015,0.27749,0.315235,0.351599,0.387499,0.422673,0.458919,0.494836,0.534379,0.57605,0.62412,0.674552,0.730138,0.789717,0.857672,0.935149,1.02142,1.11938,1.22558,1.34604,1.47314,1.60727,1.73292,1.84295,1.9307,2.00118,2.07218,2.15931,2.27807,2.42302,2.57961,2.72274,2.83291,2.90606,2.95495,3.00602,3.08464,3.20359,3.35422,3.50427,3.61134,3.63537,3.56269,3.41757,3.23435,3.05384,2.86857,2.62981,2.28687,1.78181,1.08776,0.454018,0.0930612,0.0274883,0.0743399,0.352794,0.785601,1.11339,1.08236,0.719381,0.308712,0.0620584,0.00497306,0,0,0,0,0,0,0,0,0,0,0
23_GC3,0,0,0,0,0,0,0,0.00E+00,0,0,0.000233186,0.00314001,0.0169034,0.0462544,0.0886248,0.136856,0.190869,0.251838,0.316693,0.383874,0.449301,0.513029,0.576116,0.638419,0.70155,0.763304,0.82889,0.895945,0.969434,1.04302,1.1201,1.19871,1.2841,1.37659,1.47362,1.57811,1.68484,1.8024,1.92155,2.04421,2.1537,2.24585,2.32026,2.38954,2.47902,2.60393,2.77332,2.96717,3.15445,3.29569,3.36295,3.35169,3.28041,3.18678,3.1103,3.07766,3.09145,3.12541,3.13244,3.06554,2.9075,2.68202,2.44696,2.24182,2.06028,1.84747,1.52207,1.06247,0.547837,0.183536,0.0301251,0.00181986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
