Depth,Mean,Median
1,106.795,63.1364
3,70.154,44.2474
5,69.2991,46.1478
7,52.4755,37.168
9,84.8672,49.4646
11,88.1583,49.1038
13,84.5955,45.5661
15,53.3168,31.9708
17,159.219,54.1331
19,49.619,28.5203
21,66.4064,37.484
23,93.9259,46.9872
25,66.0759,43.1745
27,44.0058,30.9177
29,48.3971,34.4018
31,58.8651,43.0001
33,58.2029,42.0299
35,148.91,60.7993
37,75.233,46.1495
39,57.775,42.537
41,72.4424,47.5389
43,69.3492,44.1479
45,68.1358,47.3302
47,68.1358,47.3302
